组播,#genre#
CCTV1,http://live.sxrtv.com/iptv/cctv1.m3u8
CCTV2,http://live.sxrtv.com/iptv/cctv2.m3u8
CCTV3,http://live.sxrtv.com/iptv/cctv3.m3u8
CCTV4,http://live.sxrtv.com/iptv/cctv4.m3u8
CCTV5,http://live.sxrtv.com/iptv/cctv5.m3u8
CCTV5+,http://live.sxrtv.com/iptv/cctv5p.m3u8
CCTV6,http://live.sxrtv.com/iptv/cctv6.m3u8
CCTV7,http://live.sxrtv.com/iptv/cctv7.m3u8
CCTV8,http://live.sxrtv.com/iptv/cctv8.m3u8
CCTV9,http://live.sxrtv.com/iptv/cctv9.m3u8
CCTV10,http://live.sxrtv.com/iptv/cctv10.m3u8
CCTV11,http://live.sxrtv.com/iptv/cctv11.m3u8
CCTV12,http://live.sxrtv.com/iptv/cctv12.m3u8
CCTV13,http://live.sxrtv.com/iptv/cctv13.m3u8
CCTV14,http://live.sxrtv.com/iptv/cctv14.m3u8
CCTV15,http://live.sxrtv.com/iptv/cctv15.m3u8
CCTV16,http://live.sxrtv.com/iptv/cctv16.m3u8
CCTV17,http://live.sxrtv.com/iptv/cctv17.m3u8
北京卫视,http://live.sxrtv.com/iptv/bjws.m3u8
东方卫视,http://live.sxrtv.com/iptv/dfws.m3u8
浙江卫视,http://live.sxrtv.com/iptv/zjws.m3u8
江苏卫视,http://live.sxrtv.com/iptv/jsws.m3u8
湖南卫视,http://live.sxrtv.com/iptv/hunws.m3u8
广东卫视,http://live.sxrtv.com/iptv/gdws.m3u8
深圳卫视,http://live.sxrtv.com/iptv/szws.m3u8
天津卫视,http://live.sxrtv.com/iptv/tjws.m3u8
安徽卫视,http://live.sxrtv.com/iptv/ahws.m3u8
山东卫视,http://live.sxrtv.com/iptv/sdws.m3u8
山西卫视,http://live.sxrtv.com/iptv/sxws.m3u8
辽宁卫视,http://live.sxrtv.com/iptv/lnws.m3u8
河北卫视,http://live.sxrtv.com/iptv/hbws.m3u8
河南卫视,http://live.sxrtv.com/iptv/hnws.m3u8
江西卫视,http://live.sxrtv.com/iptv/jxws.m3u8
四川卫视,http://live.sxrtv.com/iptv/scws.m3u8
重庆卫视,http://live.sxrtv.com/iptv/cqws.m3u8
贵州卫视,http://live.sxrtv.com/iptv/gzws.m3u8
湖北卫视,http://live.sxrtv.com/iptv/hubws.m3u8
广西卫视,http://live.sxrtv.com/iptv/gxws.m3u8
云南卫视,http://live.sxrtv.com/iptv/ynws.m3u8
东南卫视,http://live.sxrtv.com/iptv/dnws.m3u8
海南卫视,http://live.sxrtv.com/iptv/hinws.m3u8
陕西卫视,http://live.sxrtv.com/iptv/shxws.m3u8
甘肃卫视,http://live.sxrtv.com/iptv/gsws.m3u8
宁夏卫视,http://live.sxrtv.com/iptv/nxws.m3u8
新疆卫视,http://live.sxrtv.com/iptv/xjws.m3u8
西藏卫视,http://live.sxrtv.com/iptv/xzws.m3u8
吉林卫视,http://live.sxrtv.com/iptv/jlws.m3u8
内蒙古视,http://live.sxrtv.com/iptv/nmgws.m3u8
黑龙江视,http://live.sxrtv.com/iptv/hljws.m3u8
山东教育,http://live.sxrtv.com/iptv/sdce.m3u8
CETV1,http://live.sxrtv.com/iptv/cetv1.m3u8
CETV2,http://live.sxrtv.com/iptv/cetv2.m3u8
CETV4,http://live.sxrtv.com/iptv/cetv4.m3u8
金鹰卡通,http://live.sxrtv.com/iptv/jykt.m3u8
优漫卡通,http://live.sxrtv.com/iptv/ymkt.m3u8
卡酷少儿,http://live.sxrtv.com/iptv/kkse.m3u8
哈哈炫动,http://live.sxrtv.com/iptv/hhxd.m3u8
凤凰中文,http://live.sxrtv.com/iptv/fhzw.m3u8
凤凰资讯,http://live.sxrtv.com/iptv/fhzx.m3u8
凤凰香港,http://live.sxrtv.com/iptv/fhhk.m3u8
家庭影院,http://live.sxrtv.com/iptv/chcjtyy.m3u8
动作电影,http://live.sxrtv.com/iptv/chcdzdy.m3u8
影迷电影,http://live.sxrtv.com/iptv/chcymdy.m3u8
